nranks,run_wall_s,speedup,efficiency,rss_max_mb_per_rank,rss_sum_mb,phase_sed_mean_s,phase_sea_mean_s,phase_flow_mean_s,phase_flow_dist_mean_s,phase_erosion_mean_s,phase_flow_fill_mean_s,phase_flexure_mean_s,phase_flow_ksp_mean_s,phase_flow_dir_mean_s,phase_hillslope_mean_s,phase_flow_pitgraph_mean_s,phase_flow_pit_bcast_mean_s,phase_tectonics_mean_s,phase_forcing_mean_s,phase_flow_pit_reduce_mean_s,phase_flow_pit_edges_mean_s,phase_output_mean_s
16,521.2869,1.0000,1.0000,6615.6,51434.4,203.4052,123.9894,107.9527,105.5877,75.5483,16.2884,4.1395,7.9266,7.2378,5.8041,0.2914,0.2688,0.2557,0.1761,0.0048,0.0106,0.0000
24,385.6492,1.3517,0.9011,6568.3,58788.4,146.5230,98.6372,76.8461,72.3173,54.9553,15.6629,3.8434,5.8703,5.2633,4.4297,0.3413,0.3193,0.2614,0.1216,0.0082,0.0084,0.0000
48,187.9380,2.7737,0.9246,6582.5,80450.1,76.0898,46.2165,37.0185,33.1739,22.4277,12.3636,3.9153,2.3646,2.4752,1.9474,0.4719,0.4513,0.2516,0.0603,0.0111,0.0061,0.0000
96,98.6305,5.2852,0.8809,6580.6,122519.6,36.6938,27.7779,18.6557,16.6172,10.2647,9.0886,4.0028,1.1511,1.2673,0.9239,0.6742,0.6473,0.2500,0.0305,0.0203,0.0041,0.0000
144,69.8515,7.4628,0.8292,6660.7,161577.7,25.3183,20.0950,12.5605,10.5111,6.9467,8.5624,3.9934,0.7528,0.8855,0.6458,0.7595,0.7340,0.2534,0.0208,0.0204,0.0030,0.0000
192,54.9366,9.4889,0.7907,6643.1,204112.2,18.5654,17.1546,9.2800,7.4882,5.1770,8.0483,4.0159,0.5926,0.6355,0.4572,0.8818,0.8552,0.2518,0.0158,0.0223,0.0025,0.0000
240,46.9051,11.1137,0.7409,6606.6,253891.6,14.5884,15.6928,7.7127,5.8925,4.1994,7.9692,4.0552,0.4645,0.5493,0.3721,0.9436,0.9153,0.2510,0.0128,0.0246,0.0022,0.0000
288,44.4338,11.7318,0.6518,6598.1,288805.5,14.7280,14.4039,7.0463,5.3299,3.5783,7.8663,4.0787,0.3758,0.5039,0.3182,1.0417,1.0120,0.2517,0.0108,0.0262,0.0020,0.0000
