nranks,run_wall_s,speedup,efficiency,rss_max_mb_per_rank,rss_sum_mb,phase_sed_mean_s,phase_sea_mean_s,phase_flow_mean_s,phase_flow_dist_mean_s,phase_erosion_mean_s,phase_flow_fill_mean_s,phase_flexure_mean_s,phase_flow_ksp_mean_s,phase_flow_dir_mean_s,phase_hillslope_mean_s,phase_flow_pitgraph_mean_s,phase_flow_pit_bcast_mean_s,phase_tectonics_mean_s,phase_forcing_mean_s,phase_flow_pit_reduce_mean_s,phase_flow_pit_edges_mean_s,phase_output_mean_s
24,800.6660,1.0000,1.0000,10145.4,83434.8,340.2025,177.7404,169.0123,160.4010,99.9759,31.2015,5.2180,11.3108,9.1107,7.8997,0.4370,0.4120,0.3981,0.2055,0.0072,0.0116,0.0000
48,366.4142,2.1851,1.0926,9959.3,110861.3,151.8908,79.3619,76.2571,71.0863,50.0416,18.1188,5.1665,5.3124,4.0704,3.1948,0.5664,0.5426,0.3947,0.0944,0.0123,0.0075,0.0000
96,194.6572,4.1132,1.0283,10001.8,163399.5,77.0099,49.1866,38.1868,35.3118,22.8077,13.9191,5.3447,2.5487,2.0403,1.6335,0.8582,0.8206,0.4233,0.0469,0.0292,0.0054,0.0000
144,149.9530,5.3394,0.8899,10013.4,206276.2,61.4006,35.5235,31.0359,28.5916,15.1386,13.0160,5.3147,2.1433,1.3651,1.0130,0.9897,0.9575,0.4634,0.0315,0.0256,0.0039,0.0000
192,116.2631,6.8867,0.8608,10068.3,269246.2,46.4431,28.9138,23.9869,21.5682,10.3823,12.7854,5.3188,1.5659,1.0659,0.7659,1.0665,1.0338,0.4049,0.0240,0.0274,0.0032,0.0000
240,96.0354,8.3372,0.8337,10029.7,336211.9,36.5471,28.2655,16.8215,13.9819,7.9597,11.9975,5.4209,1.0860,0.7972,0.5827,1.1549,1.1216,0.3890,0.0194,0.0287,0.0027,0.0000
288,71.3727,11.2181,0.9348,10024.6,386456.3,22.3629,23.9746,12.8974,10.8197,5.7869,11.3334,5.4277,0.7566,0.7084,0.4916,1.2425,1.2085,0.3893,0.0164,0.0298,0.0024,0.0000
336,69.3721,11.5416,0.8244,10048.3,449923.1,23.6501,22.4626,11.6746,9.0663,5.3415,11.6835,5.3961,0.6412,0.6328,0.4167,1.3243,1.2854,0.3918,0.0142,0.0351,0.0021,0.0000
